4.50,1231.00,success
4.20,19.00,not success
4.70,653.00,not success
4.00,20577.00,success
3.90,13473.00,success
4.60,1843.00,not success
4.20,730.00,not success
4.10,17611.00,success
4.10,107.00,not success
4.10,322.00,not success
4.50,714.00,success
4.30,2022.00,not success
4.50,3239.00,success
4.60,24582.00,success
3.90,1583.00,success
4.20,365.00,not success
4.40,1764.00,not success
3.60,303.00,not success
4.80,63.00,not success
4.10,1312.00,not success
3.60,9653.00,success
4.60,27.00,not success
4.30,301.00,not success
2.90,118.00,not success
4.10,56.00,not success
3.80,407.00,not success
4.40,349.00,not success
3.90,5868.00,success
4.10,380.00,not success
4.10,201.00,not success
4.30,150.00,not success
4.30,822.00,not success
4.00,2064.00,success
4.70,13258.00,success
3.70,6823.00,success
4.10,46463.00,success
4.30,48804.00,success
4.00,27700.00,success
4.20,10236.00,success
4.50,891.00,not success
4.40,722.00,not success
4.70,733.00,not success
4.10,47377.00,success
3.30,13696.00,success
3.90,20915.00,success
4.00,10166.00,success
4.30,5596.00,success
4.60,369.00,not success
4.30,503.00,not success
4.10,3373.00,success
4.00,588.00,not success
3.40,151.00,not success
3.70,1243.00,success
3.90,28853.00,success
4.20,17543.00,success
4.60,65047.00,success
4.40,79644.00,success
4.10,568.00,not success
4.00,163.00,not success
4.70,31659.00,success
4.40,5060.00,success
4.20,36742.00,success
4.40,3480.00,success
4.40,40109.00,success
4.20,5294.00,success
3.90,568.00,success
4.50,55524.00,success
4.40,4896.00,success
4.10,5029.00,success
3.70,6836.00,success
4.30,79422.00,success
3.80,487.00,not success
4.40,30567.00,success
3.60,4096.00,success
3.90,939.00,not success
2.80,1776.00,success
3.90,269.00,not success
4.50,6931.00,not success
3.50,1870.00,success
4.30,27552.00,success
4.30,9464.00,success
3.20,145.00,not success
4.30,3947.00,success
3.40,3737.00,success
4.30,96330.00,success
4.00,5990.00,success
3.20,517.00,not success
3.10,2160.00,not success
3.60,4352.00,success
4.00,4958.00,success
4.20,4970.00,success
4.40,70.00,not success
3.90,926.00,not success
4.60,59685.00,success
0.00,0.00,not success
4.10,97.00,not success
3.70,72938.00,success
3.80,108168.00,success
3.70,17088.00,success
4.20,82837.00,success
3.70,1515.00,not success
4.30,347.00,not success
4.10,46.00,not success
4.50,24127.00,success
4.10,34138.00,success
3.30,4010.00,success
4.00,17764.00,success
3.80,33066.00,success
4.10,5299.00,success
4.20,128035.00,success
4.40,13482.00,success
4.10,2324.00,not success
0.00,0.00,not success
4.00,23064.00,success
4.10,1466.00,not success
3.80,57938.00,success
3.90,1439.00,not success
4.00,755.00,not success
4.50,2471.00,not success
3.90,72998.00,success
3.60,329.00,not success
4.60,3329.00,success
3.80,204.00,success
4.00,67.00,not success
3.60,121.00,not success
3.60,1075.00,success
4.90,47.00,not success
4.20,1442.00,success
4.70,119.00,not success
4.50,11.00,not success
4.50,929.00,not success
4.50,22.00,not success
0.00,0.00,not success
4.40,28.00,not success
4.40,18.00,not success
4.20,526.00,not success
4.30,8065.00,success
4.30,1642.00,not success
3.70,178.00,not success
3.70,5616.00,not success
4.90,4749.00,success
3.60,71.00,not success
4.70,83815.00,success
3.70,65.00,not success
4.80,24.00,not success
4.10,294.00,success
4.70,30.00,not success
4.20,417.00,not success
4.70,46.00,not success
4.50,144.00,not success
4.60,889.00,not success
4.50,73.00,not success
4.80,53.00,not success
4.60,10931.00,success
4.20,7704.00,success
4.70,18.00,not success
4.30,675.00,success
4.50,10867.00,success
4.60,2125.00,success
4.40,521.00,success
4.60,100429.00,success
4.30,8970.00,success
4.00,186.00,not success
4.50,8146.00,success
4.50,9913.00,success
4.30,9979.00,success
4.20,4112.00,success
4.20,46.00,not success
4.30,2874.00,success
4.50,22220.00,success
4.60,9706.00,success
4.40,7098.00,success
4.20,2635.00,success
4.80,1893.00,success
4.40,4111.00,success
4.40,4836.00,success
4.60,77212.00,success
4.50,7927.00,success
4.50,67265.00,success
4.60,5849.00,success
4.60,945.00,success
4.70,382.00,not success
4.70,5291.00,success
4.80,50.00,not success
4.60,149.00,not success
4.30,13722.00,success
4.50,11069.00,success
4.10,196.00,not success
3.10,48.00,not success
4.50,17.00,not success
4.50,25610.00,success
4.40,5324.00,success
4.60,8691.00,success
4.60,9410.00,success
4.50,3528.00,success
4.50,125.00,not success
4.60,352.00,not success
4.40,5604.00,success
4.50,13825.00,success
4.40,17586.00,success
4.60,33907.00,success
4.30,340.00,not success
4.60,12719.00,success
4.80,100.00,not success
4.30,85.00,not success
4.70,2358.00,success
4.50,3999.00,success
4.50,38650.00,success
4.20,6327.00,success
4.40,21.00,not success
4.50,18856.00,success
4.40,10287.00,success
4.60,361.00,not success
4.80,1636.00,success
